"name","run.no.in.std.order","run.no","run.no.std.rp","size","temp","Blocks"
"139","41",139,"41.4","10","e",".4"
"140","28",140,"28.4","12","t",".4"
"141","32",141,"32.4","1","e",".4"
"142","5",142,"5.4","4","n",".4"
"143","16",143,"16.4","0","t",".4"
"144","31",144,"31.4","0","e",".4"
"145","23",145,"23.4","7","t",".4"
"146","42",146,"42.4","11","e",".4"
"147","14",147,"14.4","13","n",".4"
"148","1",148,"1.4","0","n",".4"
"149","34",149,"34.4","3","e",".4"
"150","2",150,"2.4","1","n",".4"
"151","19",151,"19.4","3","t",".4"
"152","22",152,"22.4","6","t",".4"
"153","36",153,"36.4","5","e",".4"
"154","30",154,"30.4","14","t",".4"
"155","11",155,"11.4","10","n",".4"
"156","26",156,"26.4","10","t",".4"
"157","35",157,"35.4","4","e",".4"
"158","15",158,"15.4","14","n",".4"
"159","7",159,"7.4","6","n",".4"
"160","8",160,"8.4","7","n",".4"
"161","18",161,"18.4","2","t",".4"
"162","40",162,"40.4","9","e",".4"
"163","17",163,"17.4","1","t",".4"
"164","20",164,"20.4","4","t",".4"
"165","37",165,"37.4","6","e",".4"
"166","21",166,"21.4","5","t",".4"
"167","13",167,"13.4","12","n",".4"
"168","10",168,"10.4","9","n",".4"
"169","45",169,"45.4","14","e",".4"
"170","29",170,"29.4","13","t",".4"
"171","38",171,"38.4","7","e",".4"
"172","12",172,"12.4","11","n",".4"
"173","6",173,"6.4","5","n",".4"
"174","33",174,"33.4","2","e",".4"
"175","43",175,"43.4","12","e",".4"
"176","39",176,"39.4","8","e",".4"
"177","25",177,"25.4","9","t",".4"
"178","44",178,"44.4","13","e",".4"
"179","27",179,"27.4","11","t",".4"
"180","4",180,"4.4","3","n",".4"
"181","2",181,"2.5","1","n",".5"
"182","6",182,"6.5","5","n",".5"
"183","23",183,"23.5","7","t",".5"
"184","8",184,"8.5","7","n",".5"
"185","30",185,"30.5","14","t",".5"
"186","3",186,"3.5","2","n",".5"
"187","25",187,"25.5","9","t",".5"
"188","45",188,"45.5","14","e",".5"
"189","16",189,"16.5","0","t",".5"
"190","42",190,"42.5","11","e",".5"
"191","21",191,"21.5","5","t",".5"
"192","29",192,"29.5","13","t",".5"
"193","44",193,"44.5","13","e",".5"
"194","35",194,"35.5","4","e",".5"
"195","26",195,"26.5","10","t",".5"
"196","1",196,"1.5","0","n",".5"
"197","14",197,"14.5","13","n",".5"
"198","9",198,"9.5","8","n",".5"
"199","41",199,"41.5","10","e",".5"
"200","4",200,"4.5","3","n",".5"
"201","28",201,"28.5","12","t",".5"
"202","20",202,"20.5","4","t",".5"
"203","7",203,"7.5","6","n",".5"
"204","22",204,"22.5","6","t",".5"
"205","31",205,"31.5","0","e",".5"
"206","33",206,"33.5","2","e",".5"
"207","38",207,"38.5","7","e",".5"
"208","19",208,"19.5","3","t",".5"
"209","5",209,"5.5","4","n",".5"
"210","39",210,"39.5","8","e",".5"
"211","40",211,"40.5","9","e",".5"
"212","17",212,"17.5","1","t",".5"
"213","37",213,"37.5","6","e",".5"
"214","12",214,"12.5","11","n",".5"
"215","13",215,"13.5","12","n",".5"
"216","10",216,"10.5","9","n",".5"
"217","24",217,"24.5","8","t",".5"
"218","15",218,"15.5","14","n",".5"
"219","34",219,"34.5","3","e",".5"
"220","32",220,"32.5","1","e",".5"
"221","11",221,"11.5","10","n",".5"
"222","36",222,"36.5","5","e",".5"
"223","43",223,"43.5","12","e",".5"
"224","27",224,"27.5","11","t",".5"
"225","18",225,"18.5","2","t",".5"
"226","17",226,"17.6","1","t",".6"
"227","3",227,"3.6","2","n",".6"
"228","10",228,"10.6","9","n",".6"
"229","5",229,"5.6","4","n",".6"
"230","2",230,"2.6","1","n",".6"
"231","21",231,"21.6","5","t",".6"
"232","36",232,"36.6","5","e",".6"
"233","34",233,"34.6","3","e",".6"
"234","11",234,"11.6","10","n",".6"
"235","12",235,"12.6","11","n",".6"
"236","6",236,"6.6","5","n",".6"
"237","15",237,"15.6","14","n",".6"
"238","32",238,"32.6","1","e",".6"
"239","20",239,"20.6","4","t",".6"
"240","23",240,"23.6","7","t",".6"
"241","7",241,"7.6","6","n",".6"
"242","29",242,"29.6","13","t",".6"
"243","26",243,"26.6","10","t",".6"
"244","44",244,"44.6","13","e",".6"
"245","13",245,"13.6","12","n",".6"
"246","37",246,"37.6","6","e",".6"
"247","27",247,"27.6","11","t",".6"
"248","28",248,"28.6","12","t",".6"
"249","33",249,"33.6","2","e",".6"
"250","45",250,"45.6","14","e",".6"
"251","40",251,"40.6","9","e",".6"
"252","25",252,"25.6","9","t",".6"
"253","38",253,"38.6","7","e",".6"
"254","22",254,"22.6","6","t",".6"
"255","8",255,"8.6","7","n",".6"
"256","4",256,"4.6","3","n",".6"
"257","18",257,"18.6","2","t",".6"
"258","31",258,"31.6","0","e",".6"
"259","41",259,"41.6","10","e",".6"
"260","30",260,"30.6","14","t",".6"
"261","39",261,"39.6","8","e",".6"
"262","24",262,"24.6","8","t",".6"
"263","43",263,"43.6","12","e",".6"
"264","14",264,"14.6","13","n",".6"
"265","16",265,"16.6","0","t",".6"
"266","19",266,"19.6","3","t",".6"
"267","42",267,"42.6","11","e",".6"
"268","9",268,"9.6","8","n",".6"
"269","1",269,"1.6","0","n",".6"
"270","35",270,"35.6","4","e",".6"
"271","44",271,"44.7","13","e",".7"
"272","29",272,"29.7","13","t",".7"
"273","28",273,"28.7","12","t",".7"
"274","43",274,"43.7","12","e",".7"
"275","32",275,"32.7","1","e",".7"
"276","16",276,"16.7","0","t",".7"
"277","6",277,"6.7","5","n",".7"
"278","30",278,"30.7","14","t",".7"
"279","7",279,"7.7","6","n",".7"
"280","25",280,"25.7","9","t",".7"
"281","24",281,"24.7","8","t",".7"
"282","8",282,"8.7","7","n",".7"
"283","19",283,"19.7","3","t",".7"
"284","22",284,"22.7","6","t",".7"
"285","12",285,"12.7","11","n",".7"
"286","41",286,"41.7","10","e",".7"
"287","34",287,"34.7","3","e",".7"
"288","9",288,"9.7","8","n",".7"
"289","14",289,"14.7","13","n",".7"
"290","13",290,"13.7","12","n",".7"
"291","27",291,"27.7","11","t",".7"
"292","2",292,"2.7","1","n",".7"
"293","21",293,"21.7","5","t",".7"
"294","36",294,"36.7","5","e",".7"
"295","37",295,"37.7","6","e",".7"
"296","18",296,"18.7","2","t",".7"
"297","5",297,"5.7","4","n",".7"
"298","40",298,"40.7","9","e",".7"
"299","31",299,"31.7","0","e",".7"
"300","45",300,"45.7","14","e",".7"
"301","42",301,"42.7","11","e",".7"
"302","10",302,"10.7","9","n",".7"
"303","4",303,"4.7","3","n",".7"
"304","35",304,"35.7","4","e",".7"
"305","3",305,"3.7","2","n",".7"
"306","15",306,"15.7","14","n",".7"
"307","39",307,"39.7","8","e",".7"
"308","17",308,"17.7","1","t",".7"
"309","33",309,"33.7","2","e",".7"
"310","38",310,"38.7","7","e",".7"
"311","20",311,"20.7","4","t",".7"
"312","1",312,"1.7","0","n",".7"
"313","26",313,"26.7","10","t",".7"
"314","23",314,"23.7","7","t",".7"
"315","11",315,"11.7","10","n",".7"
"316","9",316,"9.8","8","n",".8"
"317","12",317,"12.8","11","n",".8"
"318","44",318,"44.8","13","e",".8"
"319","23",319,"23.8","7","t",".8"
"320","13",320,"13.8","12","n",".8"
"321","22",321,"22.8","6","t",".8"
"322","33",322,"33.8","2","e",".8"
"323","1",323,"1.8","0","n",".8"
"324","20",324,"20.8","4","t",".8"
"325","26",325,"26.8","10","t",".8"
"326","40",326,"40.8","9","e",".8"
"327","8",327,"8.8","7","n",".8"
"328","14",328,"14.8","13","n",".8"
"329","7",329,"7.8","6","n",".8"
