"counter","r","version","value"
LLC-stores,rep,x.t,19035
L1-dcache-load-misses,one,n.n,561122
L1-dcache-load-misses,one,n.t,560919
L1-dcache-load-misses,one,n.t.f,301340
L1-dcache-load-misses,one,n.x,300682
L1-dcache-load-misses,one,t.n,807492
L1-dcache-load-misses,one,t.t,794098
L1-dcache-load-misses,one,t.t.f,532759
L1-dcache-load-misses,one,t.x,532446
L1-dcache-load-misses,one,x.n,243230
L1-dcache-load-misses,one,x.t,244276
L1-dcache-load-misses,rep,n.n,262969392
L1-dcache-load-misses,rep,n.t,262968194
L1-dcache-load-misses,rep,n.t.f,298800
L1-dcache-load-misses,rep,n.x,375716
L1-dcache-load-misses,rep,t.n,525141697
L1-dcache-load-misses,rep,t.t,525161657
L1-dcache-load-misses,rep,t.t.f,533838
L1-dcache-load-misses,rep,t.x,262831316
L1-dcache-load-misses,rep,x.n,229660173
L1-dcache-load-misses,rep,x.t,229663765
l1d.replacement,one,n.n,562858
l1d.replacement,one,n.t,564589
l1d.replacement,one,n.t.f,300145
l1d.replacement,one,n.x,299481
l1d.replacement,one,t.n,796142
l1d.replacement,one,t.t,794579
l1d.replacement,one,t.t.f,531217
l1d.replacement,one,t.x,533207
l1d.replacement,one,x.n,244149
l1d.replacement,one,x.t,244877
l1d.replacement,rep,n.n,262971545
l1d.replacement,rep,n.t,262958470
l1d.replacement,rep,n.t.f,299574
l1d.replacement,rep,n.x,385636
l1d.replacement,rep,t.n,525175423
l1d.replacement,rep,t.t,525141517
l1d.replacement,rep,t.t.f,531751
l1d.replacement,rep,t.x,262850102
l1d.replacement,rep,x.n,229674410
l1d.replacement,rep,x.t,229681829
l2_lines_in.all,one,n.n,554161
l2_lines_in.all,one,n.t,557773
l2_lines_in.all,one,n.t.f,285488
l2_lines_in.all,one,n.x,285244
l2_lines_in.all,one,t.n,787074
l2_lines_in.all,one,t.t,787095
l2_lines_in.all,one,t.t.f,526610
l2_lines_in.all,one,t.x,523191
l2_lines_in.all,one,x.n,245770
l2_lines_in.all,one,x.t,247319
l2_lines_in.all,rep,n.n,263518153
l2_lines_in.all,rep,n.t,263513174
l2_lines_in.all,rep,n.t.f,287236
l2_lines_in.all,rep,n.x,385431
l2_lines_in.all,rep,t.n,526061001
l2_lines_in.all,rep,t.t,526028952
l2_lines_in.all,rep,t.t.f,525659
l2_lines_in.all,rep,t.x,263403555
l2_lines_in.all,rep,x.n,229962847
l2_lines_in.all,rep,x.t,229959871
offcore_requests.demand_data_rd,one,n.n,114128
offcore_requests.demand_data_rd,one,n.t,123504
offcore_requests.demand_data_rd,one,n.t.f,5787
offcore_requests.demand_data_rd,one,n.x,5590
offcore_requests.demand_data_rd,one,t.n,34584
offcore_requests.demand_data_rd,one,t.t,32916
offcore_requests.demand_data_rd,one,t.t.f,8762
offcore_requests.demand_data_rd,one,t.x,8113
offcore_requests.demand_data_rd,one,x.n,37393
offcore_requests.demand_data_rd,one,x.t,33251
offcore_requests.demand_data_rd,rep,n.n,116061810
offcore_requests.demand_data_rd,rep,n.t,112209627
offcore_requests.demand_data_rd,rep,n.t.f,6293
offcore_requests.demand_data_rd,rep,n.x,24987
offcore_requests.demand_data_rd,rep,t.n,28273567
offcore_requests.demand_data_rd,rep,t.t,23571531
offcore_requests.demand_data_rd,rep,t.t.f,9139
offcore_requests.demand_data_rd,rep,t.x,251606
offcore_requests.demand_data_rd,rep,x.n,18941697
offcore_requests.demand_data_rd,rep,x.t,19746937
