"counter","r","version","value"
l1d.replacement,rep,t.x,262813811
l1d.replacement,rep,x.n,229678120
l1d.replacement,rep,x.t,229683336
l2_lines_in.all,one,n.n,554743
l2_lines_in.all,one,n.t,554376
l2_lines_in.all,one,n.x,284796
l2_lines_in.all,one,t.n,791282
l2_lines_in.all,one,t.t,787019
l2_lines_in.all,one,t.x,525719
l2_lines_in.all,one,x.n,247440
l2_lines_in.all,one,x.t,248561
l2_lines_in.all,rep,n.n,263578870
l2_lines_in.all,rep,n.t,263587329
l2_lines_in.all,rep,n.x,414169
l2_lines_in.all,rep,t.n,526129554
l2_lines_in.all,rep,t.t,526072655
l2_lines_in.all,rep,t.x,263434234
l2_lines_in.all,rep,x.n,229969082
l2_lines_in.all,rep,x.t,229977091
