"counter","size","memtype","temp","opt","value"
PAPI_L3_TCM,small,unc,t,O2.4,421
PAPI_L3_TCM,small,unc,nt,O2.4,506
PAPI_L3_TCR,small,wb,t,O2.4,655465845
PAPI_L3_TCR,small,wb,nt,O2.4,655477140
PAPI_L3_TCR,small,wc,t,O2.4,1813
PAPI_L3_TCR,small,wc,nt,O2.4,802
PAPI_L3_TCR,small,unc,t,O2.4,912
PAPI_L3_TCR,small,unc,nt,O2.4,879
PAPI_L3_TCR,small,wb,t,O2.4,655469368
PAPI_L3_TCR,small,wb,nt,O2.4,655480704
PAPI_L3_TCR,small,wc,t,O2.4,1094
PAPI_L3_TCR,small,wc,nt,O2.4,371
PAPI_L3_TCR,small,unc,t,O2.4,1074
PAPI_L3_TCR,small,unc,nt,O2.4,2482
MEM_UOPS_RETIRED:ALL_LOADS,small,wb,t,O2.4,1310721694
MEM_UOPS_RETIRED:ALL_LOADS,small,wb,nt,O2.4,1310721792
MEM_UOPS_RETIRED:ALL_LOADS,small,wc,t,O2.4,1310800108
MEM_UOPS_RETIRED:ALL_LOADS,small,wc,nt,O2.4,1310724767
MEM_UOPS_RETIRED:ALL_LOADS,small,unc,t,O2.4,1310800108
MEM_UOPS_RETIRED:ALL_LOADS,small,unc,nt,O2.4,1310800101
MEM_UOPS_RETIRED:ALL_LOADS,small,wb,t,O2.4,1310721687
MEM_UOPS_RETIRED:ALL_LOADS,small,wb,nt,O2.4,1310721771
MEM_UOPS_RETIRED:ALL_LOADS,small,wc,t,O2.4,1310800085
MEM_UOPS_RETIRED:ALL_LOADS,small,wc,nt,O2.4,1310724764
MEM_UOPS_RETIRED:ALL_LOADS,small,unc,t,O2.4,1310800260
MEM_UOPS_RETIRED:ALL_LOADS,small,unc,nt,O2.4,1310800292
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wb,t,O2.4,655467854
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wb,nt,O2.4,655480431
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wc,t,O2.4,1310721718
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wc,nt,O2.4,755215345
OFFCORE_RESPONSE_0:ANY_REQUEST,small,unc,t,O2.4,1310720597
OFFCORE_RESPONSE_0:ANY_REQUEST,small,unc,nt,O2.4,1310721122
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wb,t,O2.4,655467805
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wb,nt,O2.4,655480672
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wc,t,O2.4,1310721356
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wc,nt,O2.4,755203848
OFFCORE_RESPONSE_0:ANY_REQUEST,small,unc,t,O2.4,1310720982
OFFCORE_RESPONSE_0:ANY_REQUEST,small,unc,nt,O2.4,1310721332
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wb,t,O2.4,655475007
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wb,nt,O2.4,655482662
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wc,t,O2.4,1367
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wc,nt,O2.4,1866
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,unc,t,O2.4,1715
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,unc,nt,O2.4,431
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wb,t,O2.4,655471054
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wb,nt,O2.4,655482526
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wc,t,O2.4,3215
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wc,nt,O2.4,562
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,unc,t,O2.4,859
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,unc,nt,O2.4,2056
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wb,t,O2.4,655471516
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wb,nt,O2.4,655478193
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wc,t,O2.4,1495
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wc,nt,O2.4,769
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,unc,t,O2.4,710
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,unc,nt,O2.4,2404
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wb,t,O2.4,655467948
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wb,nt,O2.4,655482354
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wc,t,O2.4,1228
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wc,nt,O2.4,348
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,unc,t,O2.4,2429
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,unc,nt,O2.4,873
L1D_PEND_MISS:FB_FULL,small,wb,t,O2.4,1444519651
L1D_PEND_MISS:FB_FULL,small,wb,nt,O2.4,596649598
L1D_PEND_MISS:FB_FULL,small,wc,t,O2.4,0
L1D_PEND_MISS:FB_FULL,small,wc,nt,O2.4,4334863283
L1D_PEND_MISS:FB_FULL,small,unc,t,O2.4,0
L1D_PEND_MISS:FB_FULL,small,unc,nt,O2.4,0
L1D_PEND_MISS:FB_FULL,small,wb,t,O2.4,1444652253
