"name","run.no.in.std.order","run.no","run.no.std.rp","sizea","sizeb","temp"
"154","97",154,97,"6","4","tn"
"155","78",155,78,"15","9","nn"
"156","123",156,123,"9","5","tt"
"157","2",157,2,"6","4","nt"
"158","320",158,320,"11","4","tt"
"159","77",159,77,"17","8","nt"
"160","405",160,405,"10","6","tt"
"161","161",161,161,"10","6","nn"
"162","395",162,395,"10","10","tt"
"163","346",163,346,"14","9","tt"
"164","334",164,334,"12","12","nt"
"165","248",165,248,"8","5","tt"
"166","146",166,146,"16","11","tt"
"167","55",167,55,"16","5","tn"
"168","133",168,133,"4","4","nn"
"169","383",169,383,"14","11","tn"
"170","351",170,351,"6","5","nn"
"171","175",171,175,"12","7","nt"
"172","149",172,149,"16","16","tt"
"173","29",173,29,"13","10","tn"
"174","323",174,323,"4","4","tn"
"175","304",175,304,"8","6","tt"
"176","400",176,400,"16","16","tn"
"177","415",177,415,"14","9","nn"
"178","45",178,45,"10","6","nt"
"179","225",179,225,"16","8","tt"
"180","52",180,52,"17","12","tt"
"181","278",181,278,"5","5","tn"
"182","26",182,26,"12","9","tn"
"183","174",183,174,"10","8","tn"
"184","203",184,203,"16","10","nn"
"185","252",185,252,"14","4","tn"
"186","238",186,238,"16","15","nn"
"187","385",187,385,"13","5","tt"
"188","136",188,136,"15","11","tn"
"189","371",189,371,"5","5","nn"
"190","128",190,128,"16","7","tn"
"191","343",191,343,"17","8","tn"
"192","335",192,335,"7","5","tt"
"193","301",193,301,"11","4","nt"
"194","144",194,144,"9","7","nn"
"195","373",195,373,"15","8","nt"
"196","53",196,53,"17","10","nt"
"197","294",197,294,"16","14","nn"
"198","206",198,206,"12","11","nt"
"199","180",199,180,"16","12","tn"
"200","379",200,379,"14","4","nn"
"201","408",201,408,"5","5","nt"
"202","246",202,246,"9","9","nt"
"203","360",203,360,"13","6","nn"
"204","145",204,145,"9","8","tn"
"205","302",205,302,"7","6","tt"
"206","153",206,153,"13","13","tn"
"207","124",207,124,"9","9","nn"
"208","6",208,6,"17","15","tt"
"209","231",209,231,"6","5","tn"
"210","241",210,241,"15","7","nt"
"211","293",211,293,"10","10","nn"
"212","269",212,269,"17","13","nt"
"213","157",213,157,"17","12","nt"
"214","102",214,102,"17","9","tt"
"215","183",215,183,"6","6","nn"
"216","90",216,90,"15","15","nn"
"217","391",217,391,"13","8","tn"
"218","60",218,60,"12","4","nt"
"219","270",219,270,"17","5","tn"
"220","249",220,249,"17","11","nt"
"221","342",221,342,"14","8","nn"
"222","85",222,85,"13","6","tt"
"223","356",223,356,"12","4","tt"
"224","106",224,106,"17","12","tn"
"225","221",225,221,"4","4","tt"
"226","387",226,387,"11","4","nn"
"227","210",227,210,"16","7","tt"
"228","219",228,219,"11","9","tt"
"229","88",229,88,"16","14","tt"
"230","393",230,393,"15","10","nt"
"231","137",231,137,"14","7","tt"
"232","36",232,36,"13","4","nn"
"233","46",233,46,"15","14","nt"
"234","336",234,336,"9","6","nt"
"235","369",235,369,"5","5","tt"
"236","9",236,9,"14","13","tt"
"237","327",237,327,"13","9","tn"
"238","192",238,192,"15","11","nt"
"239","101",239,101,"14","13","nn"
"240","117",240,117,"9","5","tn"
"241","19",241,19,"9","7","tn"
"242","263",242,263,"11","7","nt"
"243","242",243,242,"7","6","tn"
"244","179",244,179,"10","9","tn"
"245","297",245,297,"16","8","nt"
"246","273",246,273,"13","11","tt"
"247","32",247,32,"17","17","nt"
"248","93",248,93,"17","8","tt"
"249","75",249,75,"11","5","tn"
"250","181",250,181,"16","4","nt"
"251","50",251,50,"15","9","tn"
"252","407",252,407,"11","6","tn"
"253","167",253,167,"17","10","tt"
"254","215",254,215,"16","10","tt"
"255","366",255,366,"16","9","nt"
"256","324",256,324,"17","7","nt"
"257","236",257,236,"17","9","nn"
"258","129",258,129,"8","8","tt"
"259","44",259,44,"17","16","nt"
"260","98",260,98,"9","6","nn"
"261","256",261,256,"17","14","tt"
"262","99",262,99,"16","8","nn"
"263","204",263,204,"14","10","nn"
"264","193",264,193,"4","4","nt"
"265","3",265,3,"17","4","tt"
"266","185",266,185,"16","15","tn"
"267","352",267,352,"17","6","nn"
"268","253",268,253,"14","14","nt"
"269","271",269,271,"15","13","nn"
"270","198",270,198,"12","9","nt"
"271","212",271,212,"9","8","nt"
"272","279",272,279,"15","4","tn"
"273","404",273,404,"8","6","nt"
"274","268",274,268,"17","16","tt"
"275","418",275,418,"10","5","tn"
"276","15",276,15,"13","7","tt"
"277","109",277,109,"7","7","tn"
"278","384",278,384,"17","7","tt"
"279","396",279,396,"11","9","nn"
"280","48",280,48,"11","4","tn"
"281","217",281,217,"13","4","tn"
"282","120",282,120,"17","7","nn"
"283","266",283,266,"10","8","tt"
"284","66",284,66,"13","5","nn"
"285","47",285,47,"15","5","tn"
"286","63",286,63,"14","10","nt"
"287","80",287,80,"17","16","tn"
"288","62",288,62,"16","7","nn"
"289","186",289,186,"15","7","tt"
"290","281",290,281,"15","8","tt"
"291","338",291,338,"11","9","nt"
"292","190",292,190,"14","4","nt"
"293","20",293,20,"17","17","tn"
"294","416",294,416,"5","4","tn"
"295","105",295,105,"14","7","tn"
"296","311",296,311,"16","11","nn"
"297","114",297,114,"15","14","tn"
"298","166",298,166,"13","7","tn"
"299","308",299,308,"11","10","nt"
"300","230",300,230,"11","6","nt"
"301","255",301,255,"15","6","tt"
"302","110",302,110,"13","13","nn"
"303","376",303,376,"7","6","nn"
"304","72",304,72,"16","16","nn"
"305","1",305,1,"15","12","nt"
"306","349",306,349,"12","5","nn"
"307","65",307,65,"17","5","nt"
"308","16",308,16,"12","7","nn"
"309","374",309,374,"14","10","tn"
"310","317",310,317,"14","14","tn"
"311","73",311,73,"6","4","nn"
"312","402",312,402,"11","11","tt"
"313","265",313,265,"13","11","tn"
"314","277",314,277,"10","4","tn"
"315","121",315,121,"8","7","nn"
"316","141",316,141,"15","6","nn"
"317","41",317,41,"16","9","nn"
"318","107",318,107,"17","4","nn"
"319","390",319,390,"14","6","nn"
"320","42",320,42,"5","4","tt"
"321","196",321,196,"11","11","nn"
"322","303",322,303,"10","10","tn"
"323","223",323,223,"15","6","tn"
"324","394",324,394,"15","11","tt"
"325","38",325,38,"17","9","nt"
"326","214",326,214,"14","8","nt"
"327","377",327,377,"15","9","tt"
"328","313",328,313,"10","7","tt"
"329","111",329,111,"14","7","nt"
"330","272",330,272,"8","4","tn"
"331","40",331,40,"12","9","tt"
"332","156",332,156,"11","7","tt"
"333","386",333,386,"17","6","tt"
"334","213",334,213,"12","5","nt"
"335","267",335,267,"17","16","nn"
"336","103",336,103,"13","4","nt"
"337","127",337,127,"13","9","nn"
"338","116",338,116,"13","7","nt"
"339","310",339,310,"12","10","tt"
"340","173",340,173,"14","12","nt"
"341","208",341,208,"16","14","tn"
"342","69",342,69,"12","11","nn"
"343","254",343,254,"10","6","tn"
"344","70",344,70,"16","12","nn"
"345","125",345,125,"5","4","nt"
"346","71",346,71,"12","5","tn"
"347","411",347,411,"17","10","tn"
"348","397",348,397,"14","6","tt"
"349","100",349,100,"14","6","nt"
"350","10",350,10,"16","13","nt"
"351","315",351,315,"15","13","tt"
"352","298",352,298,"12","12","nn"
"353","354",353,354,"8","7","nt"
"354","155",354,155,"11","11","tn"
"355","232",355,232,"12","6","nt"
"356","280",356,280,"10","7","nn"
"357","138",357,138,"7","7","tt"
"358","378",358,378,"14","6","tn"
"359","104",359,104,"16","4","nn"
"360","331",360,331,"15","13","tn"
