"name","run.no.in.std.order","run.no","run.no.std.rp","sizea","sizeb","temp","Blocks"
"240","93",240,"93.2","5","8","tt",".2"
"241","81",241,"81.3","5","5","tt",".3"
"244","110",244,"110.3","6","12","tt",".3"
"245","74",245,"74.3","6","3","tt",".3"
"246","69",246,"69.3","5","2","tt",".3"
"247","106",247,"106.3","6","11","tt",".3"
"251","100",251,"100.3","8","9","tt",".3"
"259","108",259,"108.3","8","11","tt",".3"
"260","96",260,"96.3","8","8","tt",".3"
"264","61",264,"61.3","5","0","tt",".3"
"267","77",267,"77.3","5","4","tt",".3"
"270","119",270,"119.3","7","14","tt",".3"
"272","75",272,"75.3","7","3","tt",".3"
"273","104",273,"104.3","8","10","tt",".3"
"274","90",274,"90.3","6","7","tt",".3"
"275","84",275,"84.3","8","5","tt",".3"
"277","91",277,"91.3","7","7","tt",".3"
"278","63",278,"63.3","7","0","tt",".3"
"280","113",280,"113.3","5","13","tt",".3"
"281","67",281,"67.3","7","1","tt",".3"
"282","66",282,"66.3","6","1","tt",".3"
"284","76",284,"76.3","8","3","tt",".3"
"285","95",285,"95.3","7","8","tt",".3"
"286","82",286,"82.3","6","5","tt",".3"
"287","71",287,"71.3","7","2","tt",".3"
"290","72",290,"72.3","8","2","tt",".3"
"294","109",294,"109.3","5","12","tt",".3"
"296","79",296,"79.3","7","4","tt",".3"
"301","62",301,"62.3","6","0","tt",".3"
"302","120",302,"120.3","8","14","tt",".3"
"303","111",303,"111.3","7","12","tt",".3"
"305","89",305,"89.3","5","7","tt",".3"
"306","78",306,"78.3","6","4","tt",".3"
"309","112",309,"112.3","8","12","tt",".3"
"310","64",310,"64.3","8","0","tt",".3"
"311","83",311,"83.3","7","5","tt",".3"
"314","102",314,"102.3","6","10","tt",".3"
"316","94",316,"94.3","6","8","tt",".3"
"317","80",317,"80.3","8","4","tt",".3"
"320","85",320,"85.3","5","6","tt",".3"
"321","101",321,"101.3","5","10","tt",".3"
"322","65",322,"65.3","5","1","tt",".3"
"325","114",325,"114.3","6","13","tt",".3"
"327","99",327,"99.3","7","9","tt",".3"
"328","97",328,"97.3","5","9","tt",".3"
"335","105",335,"105.3","5","11","tt",".3"
"336","70",336,"70.3","6","2","tt",".3"
"339","98",339,"98.3","6","9","tt",".3"
"341","88",341,"88.3","8","6","tt",".3"
"342","118",342,"118.3","6","14","tt",".3"
"347","115",347,"115.3","7","13","tt",".3"
"348","117",348,"117.3","5","14","tt",".3"
"349","103",349,"103.3","7","10","tt",".3"
"350","116",350,"116.3","8","13","tt",".3"
"352","107",352,"107.3","7","11","tt",".3"
"353","87",353,"87.3","7","6","tt",".3"
"354","68",354,"68.3","8","1","tt",".3"
"356","93",356,"93.3","5","8","tt",".3"
"358","92",358,"92.3","8","7","tt",".3"
"359","86",359,"86.3","6","6","tt",".3"
"360","73",360,"73.3","5","3","tt",".3"
"362","78",362,"78.4","6","4","tt",".4"
"364","67",364,"67.4","7","1","tt",".4"
"365","87",365,"87.4","7","6","tt",".4"
"367","106",367,"106.4","6","11","tt",".4"
"368","61",368,"61.4","5","0","tt",".4"
"369","68",369,"68.4","8","1","tt",".4"
"370","97",370,"97.4","5","9","tt",".4"
"373","103",373,"103.4","7","10","tt",".4"
"375","101",375,"101.4","5","10","tt",".4"
"381","73",381,"73.4","5","3","tt",".4"
"382","110",382,"110.4","6","12","tt",".4"
"383","95",383,"95.4","7","8","tt",".4"
"385","112",385,"112.4","8","12","tt",".4"
"391","74",391,"74.4","6","3","tt",".4"
"393","82",393,"82.4","6","5","tt",".4"
"394","93",394,"93.4","5","8","tt",".4"
"395","104",395,"104.4","8","10","tt",".4"
"398","70",398,"70.4","6","2","tt",".4"
"401","102",401,"102.4","6","10","tt",".4"
"404","76",404,"76.4","8","3","tt",".4"
"405","118",405,"118.4","6","14","tt",".4"
"406","64",406,"64.4","8","0","tt",".4"
"410","71",410,"71.4","7","2","tt",".4"
"419","79",419,"79.4","7","4","tt",".4"
"421","81",421,"81.4","5","5","tt",".4"
"422","63",422,"63.4","7","0","tt",".4"
"423","72",423,"72.4","8","2","tt",".4"
"424","114",424,"114.4","6","13","tt",".4"
"426","90",426,"90.4","6","7","tt",".4"
"429","66",429,"66.4","6","1","tt",".4"
"431","69",431,"69.4","5","2","tt",".4"
"432","99",432,"99.4","7","9","tt",".4"
"433","94",433,"94.4","6","8","tt",".4"
"434","111",434,"111.4","7","12","tt",".4"
"436","100",436,"100.4","8","9","tt",".4"
"437","80",437,"80.4","8","4","tt",".4"
"438","89",438,"89.4","5","7","tt",".4"
"441","92",441,"92.4","8","7","tt",".4"
"442","96",442,"96.4","8","8","tt",".4"
"443","98",443,"98.4","6","9","tt",".4"
"444","108",444,"108.4","8","11","tt",".4"
"446","109",446,"109.4","5","12","tt",".4"
"447","88",447,"88.4","8","6","tt",".4"
"448","77",448,"77.4","5","4","tt",".4"
"451","116",451,"116.4","8","13","tt",".4"
"452","113",452,"113.4","5","13","tt",".4"
"453","107",453,"107.4","7","11","tt",".4"
"454","84",454,"84.4","8","5","tt",".4"
"455","86",455,"86.4","6","6","tt",".4"
"458","83",458,"83.4","7","5","tt",".4"
"461","105",461,"105.4","5","11","tt",".4"
"462","85",462,"85.4","5","6","tt",".4"
"464","62",464,"62.4","6","0","tt",".4"
"467","119",467,"119.4","7","14","tt",".4"
"468","115",468,"115.4","7","13","tt",".4"
"472","120",472,"120.4","8","14","tt",".4"
"473","91",473,"91.4","7","7","tt",".4"
"474","75",474,"75.4","7","3","tt",".4"
"477","117",477,"117.4","5","14","tt",".4"
"478","65",478,"65.4","5","1","tt",".4"
"481","89",481,"89.5","5","7","tt",".5"
"482","75",482,"75.5","7","3","tt",".5"
"483","115",483,"115.5","7","13","tt",".5"
"484","111",484,"111.5","7","12","tt",".5"
"485","82",485,"82.5","6","5","tt",".5"
"486","110",486,"110.5","6","12","tt",".5"
"487","76",487,"76.5","8","3","tt",".5"
"490","100",490,"100.5","8","9","tt",".5"
"491","83",491,"83.5","7","5","tt",".5"
"492","95",492,"95.5","7","8","tt",".5"
"494","66",494,"66.5","6","1","tt",".5"
"495","119",495,"119.5","7","14","tt",".5"
"496","92",496,"92.5","8","7","tt",".5"
