"name","run.no.in.std.order","run.no","run.no.std.rp","sizea","sizeb","temp","Blocks"
"138","13672",138,13672,"13","0","nt",".29"
"139","1694",139,1694,"12","7","nt",".4"
"140","18230",140,18230,"14","5","nn",".39"
"141","9345",141,9345,"14","6","tn",".20"
"142","22143",142,22143,"11","9","nn",".47"
"143","6003",143,6003,"12","11","nn",".13"
"144","6738",144,6738,"8","7","nt",".15"
"145","9941",145,9941,"13","12","nn",".21"
"146","8228",146,8228,"14","11","nn",".18"
"147","7008",147,7008,"8","8","tn",".15"
"148","23686",148,23686,"6","4","nt",".50"
"149","10604",149,10604,"9","3","tn",".23"
"150","8383",150,8383,"11","6","tn",".18"
"151","14154",151,14154,"14","11","nt",".30"
"152","18327",152,18327,"1","0","tt",".39"
"153","6225",153,6225,"10","0","tn",".14"
"154","12822",154,12822,"2","0","tn",".27"
"155","23147",155,23147,"5","5","tt",".49"
"156","12470",156,12470,"10","4","tn",".27"
"157","12438",157,12438,"11","6","tt",".27"
"158","12739",158,12739,"12","6","tn",".27"
"159","17736",159,17736,"12","6","nn",".38"
"160","11221",160,11221,"14","5","tt",".24"
"161","19883",161,19883,"6","3","nn",".42"
"162","19332",162,19332,"13","6","tt",".41"
"163","15633",163,15633,"12","4","tt",".33"
"164","13573",164,13573,"14","5","nt",".29"
"165","20673",165,20673,"12","2","nt",".44"
"166","15001",166,15001,"13","12","tn",".32"
"167","4348",167,4348,"10","6","tt",".10"
"168","16481",168,16481,"9","5","nt",".35"
"169","4441",169,4441,"10","3","tn",".10"
"170","14643",170,14643,"1","0","nn",".31"
"171","5382",171,5382,"1","1","nn",".12"
"172","3833",172,3833,"7","5","tn",".9"
"173","14705",173,14705,"6","1","nn",".31"
"174","3660",174,3660,"11","5","nn",".8"
"175","6483",175,6483,"10","4","tn",".14"
"176","3121",176,3121,"12","10","nn",".7"
"177","4789",177,4789,"9","4","tt",".11"
"178","11926",178,11926,"9","4","tn",".26"
"179","20805",179,20805,"14","13","tt",".44"
"180","14143",180,14143,"6","5","tn",".30"
"181","4632",181,4632,"11","5","nn",".10"
"182","17406",182,17406,"7","3","tn",".37"
"183","16480",183,16480,"7","4","tt",".35"
"184","3114",184,3114,"3","0","nt",".7"
"185","6962",185,6962,"12","4","tt",".15"
"186","3328",186,3328,"13","0","nn",".7"
"187","14573",187,14573,"2","1","tt",".31"
"188","18473",188,18473,"13","8","nn",".39"
"189","18655",189,18655,"9","4","nn",".40"
"190","22011",190,22011,"7","5","nn",".47"
"191","16777",191,16777,"11","0","tt",".36"
"192","16414",192,16414,"7","1","tn",".35"
"193","17774",193,17774,"9","7","tn",".38"
"194","19336",194,19336,"9","0","tn",".41"
"195","17341",195,17341,"12","8","tt",".37"
"196","5476",196,5476,"13","3","tn",".12"
"197","21619",197,21619,"11","5","nt",".46"
"198","711",198,711,"14","2","tn",".2"
"199","3847",199,3847,"13","1","nt",".9"
"200","7187",200,7187,"13","6","nt",".16"
"201","1133",201,1133,"14","8","tt",".3"
"202","949",202,949,"10","10","nn",".2"
"203","17187",203,17187,"9","1","nt",".37"
"204","16164",204,16164,"7","5","nt",".34"
"205","1439",205,1439,"4","4","tt",".4"
"206","4964",206,4964,"6","6","tn",".11"
"207","14888",207,14888,"6","2","tt",".32"
"208","14315",208,14315,"3","2","tn",".31"
"209","13054",209,13054,"2","0","tt",".28"
"210","7617",210,7617,"14","3","nn",".17"
"211","2538",211,2538,"6","5","tt",".6"
"212","19929",212,19929,"6","1","nt",".42"
"213","8961",213,8961,"4","0","tt",".19"
"214","23519",214,23519,"11","10","tn",".50"
"215","15929",215,15929,"9","1","tn",".34"
"216","11929",216,11929,"7","1","nt",".26"
"217","21585",217,21585,"11","2","tt",".46"
"218","978",218,978,"11","5","tt",".3"
"219","17473",219,17473,"13","10","tt",".37"
"220","11602",220,11602,"9","6","tn",".25"
"221","14919",221,14919,"10","1","nt",".32"
"222","10608",222,10608,"14","10","tn",".23"
"223","23343",223,23343,"13","9","nn",".50"
"224","17279",224,17279,"12","2","tt",".37"
"225","14923",225,14923,"9","1","tn",".32"
"226","4923",226,4923,"11","2","tt",".11"
"227","15685",227,15685,"1","0","nt",".33"
"228","7494",228,7494,"9","6","nt",".16"
"229","4761",229,4761,"9","7","tn",".11"
"230","8991",230,8991,"7","4","tt",".19"
"231","1203",231,1203,"14","10","tn",".3"
"232","22666",232,22666,"9","0","nn",".48"
"233","23739",233,23739,"10","0","tn",".50"
"234","4411",234,4411,"12","11","tn",".10"
"235","10587",235,10587,"14","2","nn",".23"
"236","16744",236,16744,"8","0","nt",".36"
"237","6988",237,6988,"12","5","tn",".15"
"238","2219",238,2219,"12","12","tn",".5"
"239","20318",239,20318,"10","3","nn",".43"
"240","15608",240,15608,"14","3","nn",".33"
"241","14591",241,14591,"8","3","nt",".31"
"242","3281",242,3281,"12","7","tt",".7"
"243","7331",243,7331,"13","2","nn",".16"
"244","1896",244,1896,"13","7","tn",".4"
"245","18987",245,18987,"10","4","tn",".40"
"246","5663",246,5663,"10","9","tn",".12"
"247","10163",247,10163,"12","3","nt",".22"
"248","15304",248,15304,"12","10","tn",".33"
"249","6175",249,6175,"9","7","tt",".13"
"250","22843",250,22843,"9","6","tn",".48"
"251","13634",251,13634,"8","5","tn",".29"
"252","2680",252,2680,"3","2","nn",".6"
"253","18458",253,18458,"11","10","tn",".39"
"254","5494",254,5494,"12","1","nn",".12"
"255","9985",255,9985,"4","0","nt",".21"
"256","13900",256,13900,"9","2","tn",".30"
"257","16013",257,16013,"13","2","tt",".34"
"258","2483",258,2483,"12","6","tt",".6"
"259","11913",259,11913,"1","0","tn",".26"
"260","2336",260,2336,"12","2","nn",".5"
"261","9328",261,9328,"7","5","tt",".20"
"262","23140",262,23140,"8","4","nt",".49"
"263","11493",263,11493,"6","0","nt",".25"
"264","18723",264,18723,"8","5","tt",".40"
"265","11818",265,11818,"3","2","nt",".25"
"266","4812",266,4812,"12","2","nt",".11"
"267","7478",267,7478,"7","0","nt",".16"
"268","22476",268,22476,"1","0","tt",".48"
"269","1454",269,1454,"10","7","nt",".4"
"270","3201",270,3201,"6","1","tn",".7"
"271","15007",271,15007,"8","3","nn",".32"
"272","15428",272,15428,"6","1","nt",".33"
"273","15112",273,15112,"7","3","tn",".32"
"274","23486",274,23486,"11","5","tt",".50"
"275","9407",275,9407,"3","3","tt",".20"
"276","5339",276,5339,"7","7","tt",".12"
"277","50",277,50,"10","9","tn",".1"
"278","15146",278,15146,"12","0","nn",".32"
"279","23644",279,23644,"12","2","tn",".50"
"280","8168",280,8168,"10","0","nt",".18"
"281","18157",281,18157,"14","4","nt",".39"
"282","19192",282,19192,"5","5","tt",".41"
"283","1206",283,1206,"4","2","nt",".3"
"284","13598",284,13598,"12","12","tn",".29"
"285","20360",285,20360,"11","1","nt",".43"
"286","15966",286,15966,"6","2","nt",".34"
"287","1490",287,1490,"14","11","nn",".4"
"288","1908",288,1908,"14","1","tn",".5"
"289","22470",289,22470,"12","8","tn",".48"
"290","8912",290,8912,"7","7","tn",".19"
"291","15291",291,15291,"8","8","tt",".33"
"292","5624",292,5624,"4","1","tn",".12"
"293","6921",293,6921,"7","5","nn",".15"
"294","11380",294,11380,"9","4","nt",".24"
"295","14090",295,14090,"13","7","tn",".30"
"296","1959",296,1959,"7","2","nn",".5"
"297","3436",297,3436,"4","3","nt",".8"
"298","14089",298,14089,"6","5","nn",".30"
"299","10107",299,10107,"5","1","nn",".22"
"300","5694",300,5694,"14","1","nn",".12"
"301","21251",301,21251,"9","9","nt",".45"
"302","5971",302,5971,"10","3","nn",".13"
"303","21330",303,21330,"10","4","tn",".45"
"304","18355",304,18355,"1","1","tt",".39"
"305","22285",305,22285,"12","7","nt",".47"
"306","5430",306,5430,"13","13","nn",".12"
"307","13929",307,13929,"14","0","tn",".30"
"308","5652",308,5652,"2","1","nn",".12"
"309","14146",309,14146,"14","8","tt",".30"
"310","11194",310,11194,"12","5","nn",".24"
"311","5755",311,5755,"1","1","tn",".13"
"312","22133",312,22133,"11","5","nt",".47"
"313","5125",313,5125,"7","3","nn",".11"
"314","5661",314,5661,"12","6","tt",".12"
"315","18496",315,18496,"10","3","tt",".39"
"316","18875",316,18875,"6","6","nn",".40"
"317","7604",317,7604,"13","6","tt",".16"
"318","5774",318,5774,"12","8","nn",".13"
"319","1803",319,1803,"14","7","tn",".4"
