"sizea","temp","Blocks","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
8192,16,tt,4042639382,577195625,78725669,8492,308,283
131072,16,tt,4969589504,252191784,250064426,9585,327,294
2048,16,nt,27303865445,205,34,9649,339,296
12288,16,nt,11763137657,1279,809,7925,309,284
65536,16,nt,6431753954,8893,5668,8430,325,296
5120,16,tt,4660131793,913894158,17467873,8095,302,284
4096,16,nt,26624472826,862,518,9410,327,293
4096,16,tt,4888465957,1023247102,554440,7297,307,281
131072,16,nt,6407195681,158948,8370,8584,313,291
6144,16,tt,3950635247,740307552,23755958,8369,313,286
262144,16,tt,4986458698,252196767,252187770,9908,309,290
8192,16,nt,14844521213,744,427,8641,309,287
262144,16,nt,6391543299,482987,13364,8333,317,289
32768,16,tt,4909464615,290526401,234131852,7880,302,287
3072,16,nt,26908194936,451,180,9221,313,293
524288,16,nt,6382212923,490755,49855,8750,317,289
5120,16,nt,23493197025,425,40,8251,311,289
16384,16,nt,9555078500,810,272,8671,316,287
3072,16,tt,4914749471,1031259143,230446,7608,306,287
2048,16,tt,4988801333,1047364553,66463,7256,303,288
12288,16,tt,4939917419,457036090,179168502,8385,308,288
4096,16,nt,26586947401,631,160,8976,305,290
16384,16,nt,9554173541,845,49,8219,316,288
3072,16,tt,4914448762,1031262269,210977,7457,304,280
4096,16,tt,4876271270,1023249677,155787,7450,314,288
524288,16,nt,6380823629,488420,90108,9452,310,285
5120,16,nt,23555727009,773,455,9101,330,291
12288,16,nt,11757056083,783,14,8360,315,288
131072,16,tt,4964188666,252195428,250050156,8349,312,284
65536,16,nt,6432973324,6373,4047,8944,316,291
6144,16,tt,3914338667,740307425,23326010,9332,315,285
7168,16,nt,15271981759,766,348,8916,310,285
16384,16,tt,4899334567,371676195,206465863,7403,308,290
32768,16,tt,4911048288,290528575,234103204,7084,311,290
32768,16,nt,7444198908,8161,6756,9664,316,289
8192,16,nt,14870986108,639,229,7835,314,285
6144,16,nt,19038971409,669,301,7791,309,290
8192,16,tt,4026961007,577195504,76405924,9071,314,288
2048,16,nt,27338041401,193,10,8105,314,294
7168,16,tt,3607609780,591001812,47220207,8528,313,289
2048,16,tt,4989174348,1047364510,90835,7310,304,292
3072,16,nt,26934990414,372,32,9037,306,289
131072,16,nt,6408668830,139788,504,8701,310,293
262144,16,nt,6391678456,481500,29486,9282,309,290
12288,16,tt,4951170587,457038355,179417573,7718,317,286
262144,16,tt,4997613709,252193726,252184285,9232,312,294
5120,16,tt,4592650696,913894063,14763170,8597,310,286
65536,16,tt,4729884407,252188433,235324068,8661,304,290
524288,16,tt,4987983492,252192910,252185329,9396,305,292
2048,16,nt,27217485894,252,4,8213,315,288
8192,16,tt,4025315787,577195672,77211946,8682,308,287
12288,16,tt,4955334046,457036155,179430961,8379,315,291
5120,16,nt,23538471394,689,366,8340,320,289
524288,16,tt,4989944622,252191258,252183333,9646,304,286
4096,16,nt,26689192869,865,655,8557,314,288
16384,16,nt,9547358917,1306,324,8711,311,288
65536,16,nt,6433100128,5175,2067,8209,316,290
131072,16,nt,6408364178,148961,3086,8263,309,292
262144,16,tt,4990626510,252199950,252192671,8515,318,288
32768,16,tt,4912507747,290526392,234222089,8207,314,287
7168,16,nt,15207736305,670,386,8735,312,286
262144,16,nt,6392256531,483622,26815,8227,317,285
6144,16,nt,19123114616,833,532,8870,309,287
3072,16,tt,4914017719,1031259275,187271,7760,311,287
524288,16,nt,6382246231,487546,63749,9689,311,293
12288,16,nt,11793287246,1318,851,8150,316,295
7168,16,tt,3570480623,591001323,44820969,8447,330,286
2048,16,tt,4990340835,1047364550,158849,7908,310,288
65536,16,tt,4735707682,252194232,235380538,10048,311,289
16384,16,tt,4911133296,371675993,206554088,7651,313,290
6144,16,tt,3913144078,740307410,20188255,8142,306,292
3072,16,nt,27024263624,310,42,8189,316,293
5120,16,tt,4568360137,913894052,12784486,7990,305,283
