cpu-cycles,one,r.t.t,4789777333
cpu-cycles,one,r.n.t,77232668826
mem_load_retired.l3_miss,one,r.t.t,22720
mem_load_retired.l3_miss,one,r.n.t,144854
mem_load_retired.l3_hit,one,r.t.t,60140545
mem_load_retired.l3_hit,one,r.n.t,1123449897
LLC-load-misses,one,r.t.t,25912
LLC-load-misses,one,r.n.t,155032
LLC-loads,one,r.t.t,53382513
LLC-loads,one,r.n.t,1022522660
LLC-store-misses,one,r.t.t,4348
LLC-store-misses,one,r.n.t,100322
LLC-stores,one,r.t.t,31339
LLC-stores,one,r.n.t,489681
L1-dcache-load-misses,one,r.t.t,491927626
L1-dcache-load-misses,one,r.n.t,8360662620
l1d.replacement,one,r.t.t,491932114
l1d.replacement,one,r.n.t,8360118514
l2_lines_in.all,one,r.t.t,492398089
l2_lines_in.all,one,r.n.t,8368317845
offcore_requests.demand_data_rd,one,r.t.t,71436453
offcore_requests.demand_data_rd,one,r.n.t,1341238942
