"micro","microsize","size","memtyp","temp","cycles","l3m","l3l"
memory_load_dep,131072,small,wc,nt,24638370569,620915,856508
memory_load_dep,65536,huge,wb,t,19917140294,985107008,985128976
memory_load_dep,65536,huge,wb,nt,20362716861,985098594,985117060
memory_load_dep,65536,huge,wc,t,416627108550,1929715,1934857
memory_load_dep,65536,huge,wc,nt,24125153736,1291307,1923161
memory_load_dep,65536,small,wb,t,6102046837,186669763,984986003
memory_load_dep,65536,small,wb,nt,8417799761,40381583,984980758
memory_load_dep,65536,small,wc,t,416370954184,48282,55985
memory_load_dep,65536,small,wc,nt,24125272970,15108,25465
memory_load_dep,32768,huge,wb,t,19844178595,985095211,985121098
memory_load_dep,32768,huge,wb,nt,20313577197,985090731,985112197
memory_load_dep,32768,huge,wc,t,416378280674,1920044,1926946
memory_load_dep,32768,huge,wc,nt,24087259055,423601,1921688
memory_load_dep,32768,small,wb,t,6009601331,51097697,984979219
memory_load_dep,32768,small,wb,nt,7142004163,44144186,984980526
memory_load_dep,32768,small,wc,t,416267922835,25849,30870
memory_load_dep,32768,small,wc,nt,24102366249,5083,6246
memory_load_dep,16384,huge,wb,t,19794125267,985080570,985101843
memory_load_dep,16384,huge,wb,nt,20311731086,985073018,985110343
memory_load_dep,16384,huge,wc,t,416354359657,1921247,1925872
memory_load_dep,16384,huge,wc,nt,24063009676,385219,1921558
memory_load_dep,16384,small,wb,t,5919467553,238154987,984978702
memory_load_dep,16384,small,wb,nt,8316416705,77992328,984978558
memory_load_dep,16384,small,wc,t,416280441329,32807,27928
memory_load_dep,16384,small,wc,nt,24073927601,2117,1734
memory_load_dep,8192,huge,wb,t,19869415825,985095155,985110772
memory_load_dep,8192,huge,wb,nt,20259999793,985077713,985104998
memory_load_dep,8192,huge,wc,t,416347565209,1915869,1927501
memory_load_dep,8192,huge,wc,nt,24058487498,332540,1921623
memory_load_dep,8192,small,wb,t,6296813741,232027362,984982671
memory_load_dep,8192,small,wb,nt,7623104636,54094497,984979994
memory_load_dep,8192,small,wc,t,416264210563,17790,30261
memory_load_dep,8192,small,wc,nt,24087707513,2589,1747
memory_load_dep,4096,huge,wb,t,19833078924,985088151,985108505
memory_load_dep,4096,huge,wb,nt,20383147685,985081240,985101858
memory_load_dep,4096,huge,wc,t,416337141803,1895937,1926066
memory_load_dep,4096,huge,wc,nt,24073006972,310186,1921293
memory_load_dep,4096,small,wb,t,5634213649,42341383,984977552
memory_load_dep,4096,small,wb,nt,6787196484,42417825,984982026
memory_load_dep,4096,small,wc,t,416249790257,14178,12884
memory_load_dep,4096,small,wc,nt,24097245589,3530,4527
