"prefetch","size","memtyp","temp","app","displaysize","cycles","l3m","l3l"
off,small,wb,nt,memory_load_dep, 512KB,17.619.724.261,50.910,524.534.405
off,small,wb,nt,memory_load_dep, 256KB,11.710.948.038,675.221,246.932.400
off,small,wb,nt,memory_load_random, 32768KB,12.353.108.915,473.384.724,535.995.689
off,small,wb,nt,memory_load_random, 16384KB,8.568.923.183,274.417.196,529.151.420
off,small,wb,nt,memory_load_random, 8192KB,4.279.587.831,63.998.409,517.438.018
off,small,wb,nt,memory_load_random, 4096KB,2.564.119.660,360.177,492.432.096
off,small,wb,nt,memory_load_random, 2048KB,2.449.611.456,25.667,459.454.358
off,small,wb,nt,memory_load_random, 1024KB,2.317.927.235,9.677,394.120.667
off,small,wb,nt,memory_load_random, 512KB,2.066.559.445,3.789,261.736.153
off,small,wb,nt,memory_load_random, 256KB,1.707.747.097,3.096,66.266.149
off,small,wc,t,memory_load_ind, 32768KB,9.208.924.175,423.809.334,525.544.617
off,small,wc,t,memory_load_ind, 16384KB,7.161.206.514,292.410.480,525.453.658
off,small,wc,t,memory_load_ind, 8192KB,3.666.801.513,68.414.144,525.381.889
off,small,wc,t,memory_load_ind, 4096KB,2.506.039.584,181.558,524.349.409
off,small,wc,t,memory_load_ind, 2048KB,2.537.839.272,120.792,524.317.371
off,small,wc,t,memory_load_ind, 1024KB,2.498.347.273,1.177,524.314.894
off,small,wc,t,memory_load_ind, 512KB,2.499.441.998,32.251,524.313.294
off,small,wc,t,memory_load_ind, 256KB,1.960.313.827,4.646,318.747.280
off,small,wc,t,memory_load_dep, 32768KB,94.965.989.472,425.906.685,526.795.890
off,small,wc,t,memory_load_dep, 16384KB,72.532.055.127,295.559.572,526.418.026
off,small,wc,t,memory_load_dep, 8192KB,31.628.703.330,72.192.979,525.780.651
off,small,wc,t,memory_load_dep, 4096KB,17.862.957.540,1.120.942,524.758.790
off,small,wc,t,memory_load_dep, 2048KB,18.091.829.545,129.100,524.493.491
off,small,wc,t,memory_load_dep, 1024KB,17.653.249.532,110.566,524.501.589
off,small,wc,t,memory_load_dep, 512KB,17.605.449.286,1.036,524.530.518
off,small,wc,t,memory_load_dep, 256KB,14.709.818.831,498,393.467.400
off,small,wc,t,memory_load_random, 32768KB,10.623.802.749,396.249.929,535.688.655
off,small,wc,t,memory_load_random, 16384KB,8.059.880.381,265.695.990,529.103.061
off,small,wc,t,memory_load_random, 8192KB,3.923.844.070,47.523.583,517.384.239
off,small,wc,t,memory_load_random, 4096KB,2.514.558.468,174.838,492.360.271
off,small,wc,t,memory_load_random, 2048KB,2.444.888.229,83.751,459.556.895
off,small,wc,t,memory_load_random, 1024KB,2.314.915.957,21.253,394.188.642
off,small,wc,t,memory_load_random, 512KB,2.066.155.976,5.292,262.413.904
off,small,wc,t,memory_load_random, 256KB,1.686.167.713,507,54.271.265
off,small,wc,nt,memory_load_ind, 32768KB,9.560.153.768,424.246.716,525.554.450
off,small,wc,nt,memory_load_ind, 16384KB,7.371.481.437,292.271.374,525.473.964
off,small,wc,nt,memory_load_ind, 8192KB,3.634.230.511,64.261.109,525.386.509
off,small,wc,nt,memory_load_ind, 4096KB,2.504.359.145,13.901,524.350.662
off,small,wc,nt,memory_load_ind, 2048KB,2.538.633.983,121.497,524.319.934
off,small,wc,nt,memory_load_ind, 1024KB,2.501.339.923,1.564,524.315.988
off,small,wc,nt,memory_load_ind, 512KB,2.414.117.225,1.073,491.559.670
off,small,wc,nt,memory_load_ind, 256KB,1.593.027.574,698,172.127.532
off,small,wc,nt,memory_load_dep, 32768KB,96.124.432.689,425.830.546,526.796.277
off,small,wc,nt,memory_load_dep, 16384KB,72.914.479.695,295.839.723,526.434.021
off,small,wc,nt,memory_load_dep, 8192KB,31.962.813.986,70.726.274,525.816.662
off,small,wc,nt,memory_load_dep, 4096KB,17.728.921.844,219.985,524.761.866
off,small,wc,nt,memory_load_dep, 2048KB,17.670.320.713,93.348,524.490.554
off,small,wc,nt,memory_load_dep, 1024KB,18.062.124.712,10.808,524.513.877
off,small,wc,nt,memory_load_dep, 512KB,17.621.391.084,1.188,524.535.124
off,small,wc,nt,memory_load_dep, 256KB,13.470.976.146,893,336.298.231
off,small,wc,nt,memory_load_random, 32768KB,11.554.693.604,395.788.509,535.705.913
off,small,wc,nt,memory_load_random, 16384KB,8.273.554.427,265.934.481,529.169.308
off,small,wc,nt,memory_load_random, 8192KB,4.013.548.327,50.802.463,517.501.410
off,small,wc,nt,memory_load_random, 4096KB,2.514.588.610,160.333,492.320.654
off,small,wc,nt,memory_load_random, 2048KB,2.443.989.218,3.718,459.491.211
off,small,wc,nt,memory_load_random, 1024KB,2.316.698.201,28.583,394.333.833
off,small,wc,nt,memory_load_random, 512KB,2.066.440.148,711,261.723.740
off,small,wc,nt,memory_load_random, 256KB,1.686.332.483,479,54.552.542
