"prefetch","size","memtyp","temp","app","displaysize","cycles","l3m","l3l"
on,huge,wc,t,memory_load_random, 32768KB,8.493.403.715,251.566.405,476.781.804
on,huge,wc,t,memory_load_random, 16384KB,6.809.715.546,180.577.244,455.166.467
on,huge,wc,t,memory_load_random, 8192KB,3.908.754.288,43.824.273,434.458.952
on,huge,wc,t,memory_load_random, 4096KB,2.765.594.211,2.595.033,466.044.792
on,huge,wc,t,memory_load_random, 2048KB,2.630.927.297,2.751,433.071.656
on,huge,wc,t,memory_load_random, 1024KB,2.503.325.574,1.403,364.978.183
on,huge,wc,t,memory_load_random, 512KB,2.179.394.273,798,237.233.717
on,huge,wc,t,memory_load_random, 256KB,1.679.746.251,898,35.159.175
on,huge,wc,nt,memory_load_ind, 32768KB,6.949.302.547,221.981.358,430.059.483
on,huge,wc,nt,memory_load_ind, 16384KB,6.095.232.271,185.780.658,413.679.684
on,huge,wc,nt,memory_load_ind, 8192KB,3.306.749.029,58.235.273,344.372.822
on,huge,wc,nt,memory_load_ind, 4096KB,2.494.397.865,3.592.843,364.648.469
on,huge,wc,nt,memory_load_ind, 2048KB,2.432.687.061,3.525,365.413.449
on,huge,wc,nt,memory_load_ind, 1024KB,2.431.447.426,1.602,365.391.388
on,huge,wc,nt,memory_load_ind, 512KB,2.430.772.723,1.233,365.384.514
on,huge,wc,nt,memory_load_ind, 256KB,2.019.355.231,944,235.476.381
on,huge,wc,nt,memory_load_dep, 32768KB,11.696.458.159,35.875.476,105.529.678
on,huge,wc,nt,memory_load_dep, 16384KB,10.644.600.691,29.698.463,61.007.686
on,huge,wc,nt,memory_load_dep, 8192KB,8.367.076.395,11.409.330,19.790.837
on,huge,wc,nt,memory_load_dep, 4096KB,6.987.568.128,38.236,8.665.253
on,huge,wc,nt,memory_load_dep, 2048KB,6.973.037.086,3.180,8.524.184
on,huge,wc,nt,memory_load_dep, 1024KB,6.965.807.138,1.640,8.544.007
on,huge,wc,nt,memory_load_dep, 512KB,6.961.478.176,1.043,8.575.630
on,huge,wc,nt,memory_load_dep, 256KB,6.595.687.402,1.526,5.236.140
on,huge,wc,nt,memory_load_random, 32768KB,8.679.644.939,252.205.537,476.624.851
on,huge,wc,nt,memory_load_random, 16384KB,6.964.842.276,181.038.647,455.139.429
on,huge,wc,nt,memory_load_random, 8192KB,3.934.675.467,43.934.634,442.498.331
on,huge,wc,nt,memory_load_random, 4096KB,2.725.294.208,488.471,467.492.654
on,huge,wc,nt,memory_load_random, 2048KB,2.662.354.482,3.325,430.518.405
on,huge,wc,nt,memory_load_random, 1024KB,2.476.566.555,1.402,366.807.680
on,huge,wc,nt,memory_load_random, 512KB,2.182.795.164,1.076,231.844.617
on,huge,wc,nt,memory_load_random, 256KB,1.749.210.803,782,68.048.398
on,small,wb,t,memory_load_ind, 32768KB,7.524.343.485,247.095.599,435.610.333
on,small,wb,t,memory_load_ind, 16384KB,7.215.317.417,224.594.784,431.335.554
on,small,wb,t,memory_load_ind, 8192KB,3.812.599.122,85.521.138,345.151.157
on,small,wb,t,memory_load_ind, 4096KB,2.459.606.238,1.038.325,363.196.909
on,small,wb,t,memory_load_ind, 2048KB,2.447.108.037,21.902,360.024.293
on,small,wb,t,memory_load_ind, 1024KB,2.444.418.790,12.031,361.378.020
on,small,wb,t,memory_load_ind, 512KB,2.441.579.772,8.124,360.157.009
on,small,wb,t,memory_load_ind, 256KB,1.977.636.357,5.404,228.117.023
on,small,wb,t,memory_load_dep, 32768KB,11.931.589.204,35.436.601,116.706.851
on,small,wb,t,memory_load_dep, 16384KB,11.885.046.863,35.246.590,110.913.895
