"micro","microsize","size","memtyp","temp","cycles","l3m","l3l"
memory_load_dep,131072,small,wc,nt,25026639303,342997,426466
memory_load_dep,65536,huge,wb,t,23530529676,986456758,987017287
memory_load_dep,65536,huge,wb,nt,24084036384,986389610,986956466
memory_load_dep,65536,huge,wc,t,442253085690,3777929,14118630
memory_load_dep,65536,huge,wc,nt,52335381458,3222328,14513557
memory_load_dep,65536,small,wb,t,9066266669,227637567,985207275
memory_load_dep,65536,small,wb,nt,8084421890,64155768,985198775
memory_load_dep,65536,small,wc,t,416713771705,101774,532021
memory_load_dep,65536,small,wc,nt,24866548312,739781,827848
memory_load_dep,32768,huge,wb,t,23467945540,986317225,986934718
memory_load_dep,32768,huge,wb,nt,23977748813,986289476,986930622
memory_load_dep,32768,huge,wc,t,441221805772,2900152,13001212
memory_load_dep,32768,huge,wc,nt,49615020285,2609382,13091082
memory_load_dep,32768,small,wb,t,7497920783,143605569,985184317
memory_load_dep,32768,small,wb,nt,7398862438,50936876,985183608
memory_load_dep,32768,small,wc,t,416660876167,100109,415477
memory_load_dep,32768,small,wc,nt,24763047772,96495,177676
memory_load_dep,16384,huge,wb,t,23459828459,986290845,986938656
memory_load_dep,16384,huge,wb,nt,23955447664,986142308,986799332
memory_load_dep,16384,huge,wc,t,442832016274,2779898,13559013
memory_load_dep,16384,huge,wc,nt,48737166593,2622607,13234819
memory_load_dep,16384,small,wb,t,5736595987,26147580,985162336
memory_load_dep,16384,small,wb,nt,8389839833,84075771,985195880
memory_load_dep,16384,small,wc,t,416712861236,99171,417046
memory_load_dep,16384,small,wc,nt,24728163794,87511,171941
memory_load_dep,8192,huge,wb,t,23397966138,986268593,986915482
memory_load_dep,8192,huge,wb,nt,23953821424,986146941,986799564
memory_load_dep,8192,huge,wc,t,442715517055,2645644,14695066
memory_load_dep,8192,huge,wc,nt,51173009924,2604811,13874651
memory_load_dep,8192,small,wb,t,5954270871,42825297,985164919
memory_load_dep,8192,small,wb,nt,7141678433,50892035,985189828
memory_load_dep,8192,small,wc,t,416664201535,99546,467473
memory_load_dep,8192,small,wc,nt,24590751034,87001,181953
memory_load_dep,4096,huge,wb,t,23510755685,986284348,986938827
memory_load_dep,4096,huge,wb,nt,23995710609,986143880,986797552
memory_load_dep,4096,huge,wc,t,444093194111,2659431,13657508
memory_load_dep,4096,huge,wc,nt,49739276635,2593676,13277228
memory_load_dep,4096,small,wb,t,5864512223,39239972,985163104
memory_load_dep,4096,small,wb,nt,6842665705,33502602,985176286
memory_load_dep,4096,small,wc,t,416706440198,98979,418141
memory_load_dep,4096,small,wc,nt,24883221771,92801,174262
